date,net_pnl_usd,cum_pnl_usd
2016-12-09,-950.3978835480834,-26166.590233535222
2016-12-12,-231.96740323751874,-26398.55763677274
2016-12-13,951.7831453576869,-25446.774491415053
2016-12-14,-312.7873424441874,-25759.56183385924
2016-12-15,-807.502572582496,-26567.064406441736
2016-12-16,-95.36346598594746,-26662.427872427685
2016-12-19,390.4106404409228,-26272.017231986763
2016-12-20,-360.3749431078493,-26632.392175094614
2016-12-21,236.5922700890212,-26395.79990500559
2016-12-22,-689.4065998114611,-27085.20650481705
2016-12-23,-147.62101072819823,-27232.82751554525
2016-12-27,-217.2838814167976,-27450.11139696205
2016-12-28,918.4895870572547,-26531.621809904795
2017-01-03,-302.68027986196887,-26834.302089766763
2017-01-04,1469.1501251332807,-25365.151964633482
2017-01-05,1458.6784339660023,-23906.47353066748
2017-01-06,-57.863336540182445,-23964.336867207665
2017-01-09,96.63644795171574,-23867.70041925595
2017-01-10,-119.27717304099394,-23986.977592296946
2017-01-11,-417.03853999913997,-24404.016132296085
2017-01-12,247.09746711050678,-24156.918665185578
2017-01-13,103.51548880440976,-24053.40317638117
2017-01-17,843.4340890316729,-23209.969087349495
2017-01-18,302.1130129319954,-22907.856074417497
2017-01-19,939.092058556526,-21968.764015860972
2017-01-20,-1326.7569286009164,-23295.52094446189
2017-01-23,-6.0,-23301.52094446189
2017-01-24,-999.0966478551184,-24300.61759231701
2017-01-25,-2647.7167019825847,-26948.334294299595
2017-01-26,469.5170329694963,-26478.8172613301
2017-01-27,-730.2186116303837,-27209.035872960485
2017-01-30,-255.2565724999012,-27464.292445460385
2017-01-31,-278.5307734321682,-27742.823218892554
2017-02-01,-92.34087307406537,-27835.16409196662
2017-02-02,36.52816891990375,-27798.635923046717
2017-02-03,-602.9521193384107,-28401.588042385127
2017-02-06,1135.3894772292479,-27266.19856515588
2017-02-07,-1368.06222849895,-28634.26079365483
2017-02-08,205.46815986957836,-28428.79263378525
2017-02-09,-1091.0705648454637,-29519.863198630715
2017-02-10,-91.7295951054856,-29611.5927937362
2017-02-13,1583.3795497791064,-28028.213243957092
2017-02-14,61.86136573607678,-27966.351878221016
2017-02-15,305.59499601976773,-27660.756882201247
2017-02-16,194.59361608549904,-27466.16326611575
2017-02-17,-794.1166946580967,-28260.279960773845
2017-02-21,17.30867485738998,-28242.971285916454
2017-02-22,-700.7917057436781,-28943.762991660133
2017-02-23,1264.1325982034843,-27679.63039345665
2017-02-24,792.5264029474561,-26887.103990509193
2017-02-27,-938.7294237670949,-27825.833414276287
2017-02-28,177.51091862434163,-27648.322495651944
2017-03-01,122.59262511117606,-27525.729870540767
2017-03-02,1266.0623003548994,-26259.667570185866
2017-03-03,-413.43265199358257,-26673.100222179448
2017-03-06,2480.9110393398923,-24192.189182839556
2017-03-07,222.56323974326762,-23969.62594309629
2017-03-08,189.8908672529377,-23779.735075843353
2017-03-09,-7.538790247004201,-23787.273866090356
2017-03-10,595.3937770813272,-23191.880089009028
2017-03-13,-253.80280382463553,-23445.68289283366
2017-03-14,477.75397898009845,-22967.928913853564
2017-03-15,-215.54950753658622,-23183.47842139015
2017-03-16,-60.87024150239938,-23244.34866289255
2017-03-17,671.9461723906788,-22572.40249050187
2017-03-20,-46.45745111032289,-22618.859941612194
2017-03-21,1775.4943116142313,-20843.365629997963
2017-03-22,194.0849602485461,-20649.280669749416
2017-03-24,-6.846252909337906,-20656.126922658754
2017-03-27,-234.1020067000875,-20890.22892935884
2017-03-28,1.2852298801419693,-20888.9436994787
2017-03-29,-25.993125658399293,-20914.936825137098
2017-03-30,-443.4157562798565,-21358.352581416955
2017-03-31,-714.0119400980626,-22072.364521515017
2017-04-03,-621.1438281121073,-22693.508349627125
2017-04-04,65.6303312869984,-22627.87801834013
2017-04-05,-546.84113329022,-23174.71915163035
2017-04-06,212.97847219911762,-22961.740679431234
2017-04-07,-288.2850823256567,-23250.02576175689
