symbol,trade_count,fill_rate_pct,win_rate_pct,avg_return_pct,median_return_pct,trade_sharpe,avg_gap_pct,avg_holding_bars
L,72,54.167,2.778,-0.585,-0.457,-0.577,1.412,1.25
MS,164,49.39,1.829,-0.585,-0.49,-0.74,1.331,1.152
MLM,63,41.27,4.762,-0.585,-0.535,-0.653,1.548,1.333
VRSK,37,32.432,5.405,-0.585,-0.455,-0.52,1.538,1.351
CPB,36,38.889,5.556,-0.586,-0.565,-0.444,1.97,1.472
SYK,67,43.284,4.478,-0.587,-0.448,-0.603,1.596,1.433
ARES,76,50.0,2.632,-0.588,-0.52,-0.702,1.454,1.263
CDNS,92,50.0,4.348,-0.588,-0.472,-0.736,1.495,1.228
TDY,62,38.71,3.226,-0.588,-0.408,-0.758,1.387,1.081
PANW,105,37.143,6.667,-0.589,-0.544,-0.251,2.452,1.476
ALB,168,51.786,2.976,-0.59,-0.53,-0.473,1.605,1.113
XOM,117,50.427,1.709,-0.59,-0.457,-0.882,1.281,1.128
SPGI,58,46.552,0.0,-0.59,-0.415,-1.427,1.165,1.069
FOX,40,45.0,2.5,-0.59,-0.509,-0.759,1.419,1.225
RJF,110,51.818,0.909,-0.591,-0.459,-0.66,1.322,1.073
WTW,36,30.556,5.556,-0.591,-0.619,-0.431,1.781,1.25
TRMB,78,52.564,1.282,-0.592,-0.558,-1.044,1.336,1.154
CME,30,46.667,0.0,-0.592,-0.428,-1.264,1.18,1.367
BRO,38,39.474,2.632,-0.592,-0.418,-0.963,1.327,1.184
NVR,26,30.769,0.0,-0.593,-0.463,-1.43,1.181,1.0
HCA,69,37.681,8.696,-0.594,-0.721,-0.304,2.301,1.435
FDS,32,15.625,3.125,-0.594,-0.523,-0.624,1.509,1.156
AFL,49,48.98,2.041,-0.597,-0.505,-0.429,1.621,1.286
GE,104,39.423,5.769,-0.597,-0.57,-0.423,1.77,1.49
GS,120,43.333,0.833,-0.598,-0.463,-1.002,1.258,1.108
PTC,72,41.667,5.556,-0.598,-0.56,-0.29,1.965,1.278
OTIS,28,35.714,3.571,-0.598,-0.49,-0.461,1.708,1.464
EXR,37,32.432,2.703,-0.598,-0.467,-0.611,1.444,1.054
HON,68,32.353,2.941,-0.599,-0.429,-0.881,1.441,1.221
COIN,102,54.902,3.922,-0.6,-0.738,-0.168,2.525,1.147
NSC,75,45.333,2.667,-0.6,-0.485,-0.697,1.458,1.187
AIZ,57,38.596,1.754,-0.603,-0.494,-0.632,1.414,1.193
ADSK,103,43.689,3.883,-0.606,-0.493,-0.308,1.867,1.252
UDR,41,48.78,0.0,-0.608,-0.419,-1.219,1.238,1.0
LDOS,44,31.818,4.545,-0.608,-0.543,-0.642,1.984,1.318
LRCX,182,47.802,1.648,-0.61,-0.548,-0.6,1.457,1.099
RMD,79,40.506,8.861,-0.612,-0.433,-0.353,2.053,1.392
KEY,135,52.593,2.222,-0.613,-0.455,-0.456,1.537,1.141
IP,91,41.758,3.297,-0.615,-0.483,-0.889,1.431,1.231
PG,30,33.333,6.667,-0.615,-0.638,-0.817,1.554,1.5
KR,44,31.818,4.545,-0.615,-0.666,-0.429,2.082,1.386
IEX,64,46.875,0.0,-0.616,-0.472,-1.456,1.224,1.0
ALLE,70,34.286,0.0,-0.616,-0.486,-1.629,1.226,1.143
PNC,100,45.0,1.0,-0.617,-0.436,-1.094,1.273,1.09
BF-B,36,44.444,5.556,-0.617,-0.499,-0.641,2.02,1.306
CTAS,60,41.667,6.667,-0.619,-0.507,-0.449,1.782,1.433
CMCSA,54,31.481,1.852,-0.619,-0.437,-0.531,1.45,1.167
VLTO,8,25.0,0.0,-0.619,-0.446,-1.697,1.266,1.0
UPS,80,41.25,3.75,-0.62,-0.456,-0.382,1.979,1.338
EXPD,39,41.026,0.0,-0.62,-0.425,-1.389,1.22,1.026
YUM,44,36.364,2.273,-0.622,-0.424,-0.765,1.398,1.182
DOC,47,53.191,2.128,-0.625,-0.49,-0.828,1.373,1.106
MCHP,130,50.769,3.077,-0.625,-0.574,-0.509,1.66,1.177
BEN,115,50.435,0.0,-0.629,-0.466,-1.276,1.253,1.061
CL,35,22.857,5.714,-0.629,-0.499,-0.876,1.527,1.343
HPQ,108,42.593,4.63,-0.633,-0.518,-0.391,1.851,1.315
MU,227,48.018,3.084,-0.635,-0.581,-0.488,1.758,1.163
NWS,65,46.154,1.538,-0.635,-0.441,-0.847,1.419,1.062
WM,27,33.333,0.0,-0.636,-0.436,-1.31,1.261,1.333
ZBH,68,30.882,5.882,-0.636,-0.609,-0.567,1.897,1.426
GL,80,50.0,1.25,-0.638,-0.497,-0.695,1.45,1.238
BG,66,46.97,3.03,-0.638,-0.479,-0.643,1.6,1.136
CTRA,74,41.892,0.0,-0.639,-0.465,-1.395,1.365,1.095
PRU,117,48.718,1.709,-0.642,-0.454,-1.003,1.362,1.179
NKE,123,43.902,6.504,-0.642,-0.578,-0.434,2.304,1.691
IR,82,50.0,2.439,-0.643,-0.494,-0.664,1.501,1.085
ADP,46,30.435,2.174,-0.643,-0.444,-0.802,1.449,1.239
IBKR,62,53.226,1.613,-0.644,-0.449,-0.789,1.447,1.081
APTV,149,42.282,2.685,-0.644,-0.535,-0.681,1.558,1.161
AMZN,118,38.136,5.085,-0.644,-0.488,-0.581,1.83,1.559
IFF,75,36.0,1.333,-0.644,-0.447,-0.822,1.539,1.133
MET,115,46.087,0.87,-0.646,-0.451,-0.638,1.451,1.096
CRWD,89,47.191,4.494,-0.648,-0.715,-0.346,2.19,1.202
MTB,102,47.059,0.98,-0.648,-0.487,-0.588,1.474,1.147
ETN,114,50.0,1.754,-0.651,-0.458,-0.973,1.379,1.114
SBUX,90,42.222,2.222,-0.652,-0.488,-0.518,1.915,1.444
HSIC,52,44.231,1.923,-0.653,-0.522,-0.753,1.472,1.192
CINF,58,55.172,1.724,-0.654,-0.51,-0.856,1.487,1.259
PNW,21,42.857,0.0,-0.654,-0.502,-1.132,1.277,1.0
ELV,55,36.364,3.636,-0.656,-0.542,-0.701,1.678,1.182
PAYX,38,28.947,0.0,-0.657,-0.508,-1.438,1.3,1.026
COST,56,25.0,0.0,-0.657,-0.568,-1.509,1.298,1.214
ZTS,50,26.0,4.0,-0.658,-0.485,-0.469,1.611,1.46
VTRS,64,42.188,3.125,-0.659,-0.572,-0.442,2.166,1.203
DLR,42,40.476,2.381,-0.662,-0.509,-0.711,1.483,1.071
BDX,31,29.032,6.452,-0.663,-0.405,-0.552,1.893,1.516
STE,45,35.556,2.222,-0.664,-0.456,-0.989,1.405,1.133
AMP,121,47.107,1.653,-0.665,-0.511,-1.1,1.404,1.066
ZBRA,103,40.777,3.883,-0.665,-0.478,-0.464,1.925,1.214
EIX,33,36.364,0.0,-0.665,-0.459,-1.023,1.291,1.0
NOW,110,41.818,3.636,-0.666,-0.501,-0.465,1.98,1.282
FICO,64,53.125,0.0,-0.667,-0.442,-0.703,1.4,1.0
VZ,57,31.579,1.754,-0.668,-0.614,-1.087,1.422,1.193
CCI,50,46.0,2.0,-0.67,-0.554,-1.442,1.418,1.2
STLD,99,59.596,1.01,-0.677,-0.498,-0.804,1.468,1.04
KKR,122,48.361,0.82,-0.677,-0.546,-1.112,1.416,1.09
IDXX,56,39.286,3.571,-0.677,-0.573,-0.595,2.019,1.214
EQIX,39,41.026,2.564,-0.678,-0.471,-0.68,1.648,1.231
CF,106,51.887,0.943,-0.68,-0.514,-0.685,1.501,1.019
HBAN,88,45.455,2.273,-0.681,-0.544,-0.975,1.474,1.068
CBRE,102,42.157,2.941,-0.681,-0.448,-0.81,1.562,1.108
HSY,32,21.875,0.0,-0.682,-0.435,-1.314,1.648,1.312
TER,164,43.902,2.439,-0.683,-0.516,-0.493,1.757,1.122
DELL,130,38.462,6.923,-0.683,-0.539,-0.395,2.367,1.292
ODFL,61,49.18,0.0,-0.684,-0.481,-1.147,1.373,1.082
LUV,114,48.246,2.632,-0.684,-0.513,-0.666,1.63,1.114
TAP,52,46.154,3.846,-0.684,-0.566,-0.539,1.732,1.231
LH,37,37.838,0.0,-0.684,-0.496,-1.674,1.355,1.0
LYB,114,50.877,1.754,-0.685,-0.521,-0.584,1.598,1.158
DTE,27,44.444,0.0,-0.685,-0.47,-1.577,1.365,1.0
SCHW,118,33.898,0.847,-0.685,-0.5,-1.137,1.437,1.068
HST,61,49.18,1.639,-0.688,-0.515,-0.454,1.753,1.098
DPZ,56,33.929,5.357,-0.689,-0.51,-0.572,2.324,1.357
T,82,41.463,1.22,-0.691,-0.556,-1.266,1.41,1.134
WMB,57,54.386,1.754,-0.692,-0.492,-0.684,1.424,1.105
CBOE,13,38.462,0.0,-0.693,-0.415,-1.27,1.354,1.0
EXPE,110,48.182,8.182,-0.694,-0.617,-0.304,2.845,1.545
EQT,63,53.968,1.587,-0.695,-0.555,-0.965,1.491,1.032
ERIE,24,54.167,0.0,-0.696,-0.408,-0.898,1.419,1.0
FAST,52,42.308,0.0,-0.696,-0.457,-1.083,1.394,1.038
SNA,76,40.789,0.0,-0.697,-0.471,-1.204,1.404,1.039
F,107,46.729,4.673,-0.698,-0.591,-0.399,1.953,1.159
KLAC,135,41.481,0.741,-0.7,-0.578,-1.432,1.473,1.111
HWM,85,47.059,3.529,-0.701,-0.583,-0.422,2.139,1.165
EOG,131,54.198,1.527,-0.703,-0.478,-0.403,1.537,1.145
AIG,97,45.361,3.093,-0.703,-0.548,-0.689,1.751,1.237
PHM,88,39.773,2.273,-0.703,-0.546,-0.661,1.563,1.114
SBAC,37,40.541,0.0,-0.704,-0.6,-1.89,1.419,1.027
UAL,157,49.682,1.911,-0.709,-0.562,-0.372,1.873,1.076
AXP,127,50.394,0.787,-0.711,-0.537,-1.047,1.473,1.055
VLO,92,51.087,1.087,-0.712,-0.537,-0.595,1.635,1.054
FCX,269,56.506,1.859,-0.713,-0.612,-0.828,1.611,1.097
EQR,38,42.105,0.0,-0.713,-0.53,-0.968,1.504,1.184
ACGL,42,42.857,4.762,-0.714,-0.507,-0.885,1.678,1.262
RL,105,43.81,3.81,-0.718,-0.503,-0.597,1.942,1.248
VRSN,36,36.111,2.778,-0.718,-0.406,-0.475,1.775,1.167
BXP,61,45.902,0.0,-0.72,-0.482,-1.076,1.472,1.049
JBHT,54,33.333,1.852,-0.72,-0.43,-0.658,1.699,1.278
FITB,116,51.724,0.862,-0.724,-0.501,-0.879,1.504,1.121
TPL,74,44.595,1.351,-0.724,-0.536,-0.7,1.562,1.014
TMUS,45,26.667,4.444,-0.724,-0.559,-0.51,1.98,1.422
BX,113,46.018,0.0,-0.725,-0.511,-1.427,1.445,1.044
PSX,89,42.697,1.124,-0.725,-0.532,-0.946,1.53,1.079
TSLA,186,41.935,4.839,-0.726,-0.714,-0.366,2.355,1.22
MPC,87,52.874,1.149,-0.727,-0.559,-0.759,1.62,1.034
PH,109,41.284,1.835,-0.727,-0.522,-0.924,1.562,1.083
ESS,30,50.0,0.0,-0.728,-0.528,-1.15,1.48,1.033
UNH,62,32.258,8.065,-0.729,-0.571,-0.319,2.627,1.758
JBL,124,46.774,3.226,-0.731,-0.587,-0.668,1.795,1.234
WY,65,46.154,0.0,-0.731,-0.474,-1.128,1.443,1.046
EW,69,42.029,7.246,-0.732,-0.575,-0.399,2.529,1.565
TKO,48,33.333,8.333,-0.736,-0.544,-0.255,2.965,1.688
NDSN,75,44.0,2.667,-0.737,-0.592,-0.761,1.702,1.213
TXT,93,41.935,3.226,-0.737,-0.545,-0.587,1.868,1.355
APO,83,49.398,0.0,-0.739,-0.511,-1.272,1.473,1.036
OXY,137,47.445,3.65,-0.74,-0.527,-0.288,1.852,1.19
BA,126,41.27,3.175,-0.74,-0.637,-0.706,1.762,1.222
DIS,97,35.052,5.155,-0.74,-0.541,-0.542,1.988,1.433
BKR,97,46.392,1.031,-0.741,-0.52,-0.679,1.652,1.124
CFG,122,45.902,0.82,-0.741,-0.486,-0.969,1.537,1.033
CPRT,47,42.553,2.128,-0.741,-0.461,-0.639,1.606,1.021
MNST,47,29.787,8.511,-0.741,-0.568,-0.48,2.668,1.66
WAB,90,48.889,2.222,-0.742,-0.484,-0.972,1.631,1.144
CPAY,85,42.353,1.176,-0.742,-0.579,-1.056,1.617,1.094
ON,137,54.745,2.19,-0.743,-0.586,-0.671,1.728,1.058
MMM,78,32.051,0.0,-0.747,-0.448,-0.988,1.485,1.154
WBD,80,46.25,2.5,-0.751,-0.629,-0.525,1.852,1.112
COP,130,48.462,0.769,-0.755,-0.493,-0.634,1.541,1.154
SYF,115,46.957,1.739,-0.756,-0.616,-0.584,2.006,1.217
PWR,82,50.0,0.0,-0.763,-0.532,-1.071,1.534,1.012
APD,64,35.938,3.125,-0.766,-0.47,-0.73,1.626,1.141
GPN,89,48.315,1.124,-0.767,-0.576,-0.997,1.612,1.079
WYNN,159,43.396,2.516,-0.768,-0.683,-0.59,1.908,1.101
RF,113,43.363,0.885,-0.768,-0.503,-0.916,1.551,1.088
SWK,107,49.533,1.869,-0.769,-0.522,-0.741,1.784,1.159
VTR,46,41.304,2.174,-0.77,-0.506,-0.781,1.676,1.087
NOC,40,35.0,0.0,-0.772,-0.61,-1.206,1.545,1.075
MSI,46,36.957,0.0,-0.773,-0.467,-1.117,1.564,1.043
FIX,85,36.471,2.353,-0.773,-0.608,-0.377,2.098,1.129
EFX,80,35.0,1.25,-0.774,-0.498,-0.659,1.674,1.1
DD,106,50.0,1.887,-0.777,-0.558,-0.96,1.686,1.123
GM,152,46.053,1.974,-0.777,-0.6,-0.819,1.734,1.184
IT,75,44.0,2.667,-0.777,-0.476,-0.473,2.454,1.28
LVS,129,41.86,2.326,-0.777,-0.536,-0.781,1.805,1.202
SLB,117,43.59,2.564,-0.778,-0.596,-0.464,1.739,1.094
WSM,94,46.809,6.383,-0.782,-0.569,-0.582,2.198,1.287
CAG,35,37.143,2.857,-0.784,-0.482,-0.756,1.766,1.143
CNP,25,52.0,4.0,-0.786,-0.613,-1.028,1.747,1.2
OKE,97,50.515,0.0,-0.794,-0.435,-0.572,1.514,1.0
WST,50,38.0,6.0,-0.794,-0.589,-0.231,3.231,1.32
STX,135,45.926,1.481,-0.795,-0.522,-0.682,1.871,1.119
TSN,58,36.207,1.724,-0.798,-0.657,-0.602,1.862,1.155
EME,92,46.739,0.0,-0.801,-0.53,-1.212,1.604,1.076
XYZ,149,46.309,4.027,-0.802,-0.646,-0.425,2.371,1.275
FIS,59,35.593,3.39,-0.803,-0.505,-0.595,1.882,1.203
MOS,125,60.0,0.0,-0.805,-0.615,-1.31,1.596,1.08
VST,65,38.462,4.615,-0.805,-0.59,-0.344,2.357,1.323
GLW,115,44.348,0.0,-0.806,-0.55,-1.135,1.665,1.148
MPWR,106,42.453,0.943,-0.808,-0.55,-0.719,1.7,1.019
GWW,60,33.333,1.667,-0.811,-0.516,-0.874,1.81,1.117
MRNA,79,43.038,3.797,-0.812,-0.713,-0.221,3.117,1.241
LMT,44,45.455,0.0,-0.817,-0.577,-1.181,1.616,1.227
LYV,65,35.385,3.077,-0.82,-0.581,-0.513,2.205,1.277
TRGP,97,51.546,1.031,-0.823,-0.506,-0.486,1.753,1.062
ADM,58,34.483,0.0,-0.826,-0.57,-0.7,1.583,1.034
BBY,98,48.98,5.102,-0.827,-0.625,-0.511,2.32,1.245
CAH,57,31.579,5.263,-0.829,-0.559,-0.63,2.476,1.474
GNRC,100,42.0,2.0,-0.833,-0.63,-0.522,1.906,1.07
FANG,124,51.613,3.226,-0.841,-0.611,-0.399,2.087,1.185
ADBE,106,42.453,0.943,-0.841,-0.564,-0.915,1.895,1.255
DXCM,69,37.681,5.797,-0.841,-0.689,-0.389,3.7,1.551
EPAM,93,37.634,3.226,-0.843,-0.557,-0.645,2.45,1.301
BLDR,91,47.253,1.099,-0.845,-0.641,-1.001,1.831,1.088
CCL,171,50.877,3.509,-0.848,-0.617,-0.656,2.199,1.216
BKNG,103,49.515,2.913,-0.851,-0.607,-0.664,2.084,1.408
HOOD,73,42.466,4.11,-0.851,-0.679,-0.458,2.467,1.178
TSCO,36,38.889,0.0,-0.867,-0.533,-1.307,1.927,1.278
WDC,175,46.857,1.143,-0.868,-0.707,-0.579,2.009,1.086
FSLR,108,50.926,2.778,-0.869,-0.697,-0.472,2.472,1.176
DRI,73,39.726,2.74,-0.874,-0.671,-0.855,1.994,1.151
KIM,61,45.902,0.0,-0.876,-0.623,-1.138,1.777,1.016
PYPL,106,39.623,3.774,-0.878,-0.565,-0.625,2.143,1.349
APP,73,39.726,4.11,-0.887,-0.818,-0.255,3.623,1.288
DVN,156,41.026,0.0,-0.892,-0.543,-0.591,1.727,1.058
IBM,78,30.769,1.282,-0.903,-0.643,-0.74,2.103,1.423
NVDA,168,48.214,0.595,-0.909,-0.587,-0.836,1.903,1.101
DG,58,39.655,8.621,-0.912,-0.51,-0.366,2.756,1.569
URI,127,35.433,0.0,-0.912,-0.586,-1.182,1.841,1.047
HII,55,29.091,1.818,-0.912,-0.512,-0.67,1.903,1.091
DOW,95,45.263,0.0,-0.917,-0.567,-1.063,1.803,1.063
UBER,103,44.66,1.942,-0.918,-0.673,-1.034,2.009,1.155
HAS,74,31.081,2.703,-0.92,-0.647,-0.78,2.422,1.365
PSKY,71,47.887,4.225,-0.921,-0.793,-0.398,2.533,1.169
SYY,52,40.385,1.923,-0.921,-0.668,-0.807,2.125,1.154
